id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106152302452709	,P2A34ai3P,,,,,,2024-11-29T20:57:19,小米9,0,3,0,,,2024-11-29 20:57:19,False,6141086679,极目视频,5106067822348555	,P2xQO9QXV,"#女子取款5000元银行要求丈夫到场#【沈阳一储户农行卡欲取款5000元，要丈夫到场并证明夫妻关系？银行：业务已办理，原因正调查】#银行回应女子取款5000元被要求丈夫到场#11月28日，辽宁沈阳一网友发视频称，转账支付房租失败后，她去该网点取丈夫刚转进去的5000元，但被银行要求证明打款人是谁，后又要求需她丈夫到现场处理，还要提供户口本、身份证、结婚证等材料，才能证明两人的夫妻关系。最后，还要证明这5000元的用途。29日，极目新闻记者从涉事银行了解到，确有此事，但该储户后来成功办理了业务，具体原因正在调查处理。农业银行客服告诉极目新闻记者，该网友这种情况不排除资金有涉及电信诈骗或者异常交易的情况，因此需要她携带相应的材料去核实，但具体原因还要看当时的提示内容。#女子取款5000元银行要求证明夫妻关系# 
极目视频的微博视频",,,"https://f.video.weibocdn.com/o0/yaGkgXWMlx08jY1628Xm010412005s430E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1732889243&ssig=AhGmMBuo0Z&KID=unistore,video",,2024-11-29T15:21:37,微博视频号,45,4,3,"女子取款5000元银行要求丈夫到场,银行回应女子取款5000元被要求丈夫到场,女子取款5000元银行要求证明夫妻关系",,2024-11-29 15:21:37
5105352548814547	,P2ff8AZ47,人人都想别人给自己提供情绪价值，尤其家人，想你又賺钱又提供情绪价值。我赚越多，家人对我脾气越大，觉得我有钱看不起他们，觉得我打发叫花子。就不会想想，把我哄好了其实能得到更多。 ,,,,,2024-11-27T15:59:23,小米9,326,31,13,,,2024-11-27 15:59:23,True
5105348991516807	,P2f9p6mAD,"买了内插50，也买了加长滤芯，内插50的排水口大一下，但放进去还有断层，还得放上加长滤芯，于是我买个加长款的内插50试试。
地漏比大A难搞多了。
最后要用堵漏王糊住内管周边吗？如果有延长管，不会渗水了，是不是不糊堵漏王也行？就用密封胶固定一下地漏，以后也好维修。 ",,"https://wx3.sinaimg.cn/large/007RdC5Mly1hw0uc8h2gdj30u0140jwa.jpg,https://wx2.sinaimg.cn/large/007RdC5Mly1hw0uc9jk8rj30u014043w.jpg,https://wx4.sinaimg.cn/large/007RdC5Mly1hw0ucaj82jj31400u079u.jpg,https://wx4.sinaimg.cn/large/007RdC5Mly1hw0ucbeug6j31400u0jwo.jpg,https://wx3.sinaimg.cn/large/007RdC5Mly1hw0uccozf7j30u0140n27.jpg,https://wx2.sinaimg.cn/large/007RdC5Mly1hw0ucebxs1j30u01t0aha.jpg",,,2024-11-27T15:45:14,小米9,35,11,3,,,2024-11-27 15:45:14,True
5105337898895110	,P2eRvBk1w,"折腾一圈，卖飞不少，但是新高了
 ",,https://wx2.sinaimg.cn/large/007RdC5Mly1hw0t2j92ufj30u009ot9k.jpg,,,2024-11-27T15:01:10,小米9,409,104,9,,,2024-11-27 15:01:10,True
5105331015780473	,P2eGpofLr,不到半仓了 ,,,,,2024-11-27T14:33:49,小米9,54,18,2,,,2024-11-27 14:33:49,True
5105328588855421	,P2eCuB9Hn,"6成仓了，先不减了
 ",,,,,2024-11-27T14:24:11,小米9,28,4,1,,,2024-11-27 14:24:11,True
5105325827686835	,P2ey2wfHd,7成6了，涨不上去就求个平安先 ,,,,,2024-11-27T14:13:12,小米9,26,3,0,,,2024-11-27 14:13:12,True
5105324776491384	,P2ewlreHK,"那种随便生随便养，没怎么花心思没怎么花钱，孩子却有出息还给高回报的，父母应该感恩孩子吧
 ",,,,,2024-11-27T14:09:02,小米9,463,60,11,,,2024-11-27 14:09:02,True
5105324032267185	,P2ev99vNv,楼上洗澡我还是知道，不过只有水管里的水流声，没有咚咚声了。他们凌晨2点多洗了澡，中午2点又洗了，夫妻俩，不知道什么次序。好在不咚了，不然老是半夜惊魂会让我抓狂 ,,,,,2024-11-27T14:06:04,小米9,64,16,3,,,2024-11-27 14:06:04,True
5105323228795827	,P2etQAUcb,有时觉得家人配不上我，有时又觉得他们何必生我。 ,,,,,2024-11-27T14:02:53,小米9,160,39,3,,,2024-11-27 14:02:53,True
5105322425057511	,P2esyldGL,风呼呼的时候你的心脏会发紧吗？我觉得我的耳朵不敏感，心脏敏感。 ,,,,,2024-11-27T13:59:40,小米9,46,20,1,,,2024-11-27 13:59:40,True
5105311096506128	,P2eahrixy,解套了，减到8成4仓 ,,,,,2024-11-27T13:14:40,小米9,66,8,0,,,2024-11-27 13:14:40,True
5105307167233197	,P2e3WulGt,昨天半夜做咨询，时间长了有点累，我就双肘支撑趴着聊，这时4S过来了，把自己垫着我下巴，一会儿，对着手机麦克风，呼噜呼噜💤唉，你这不是让人以为我睡着了吗？ ,,,,,2024-11-27T12:59:03,小米9,61,2,0,,,2024-11-27 12:59:03,True
5105304241179939	,P2dZe4WXh,"因为全社会全亲戚的知道我是什么样的人（我哥说的），我就不用为了面子做啥，反正做啥他们都以为我想改过自新
 ",,,,,2024-11-27T12:47:26,小米9,275,22,4,,,2024-11-27 12:47:26,True
5105303081192802	,P2dXm50iK,"很久不说话的高中同学问了最近可好，我没吭声，我也不知道谁关注我，谁没关注。他前些年给我发过他在老家盖的别墅照片，说占地3000平，宅基地450平。
嗯！很牛🐮，我没田没地你有。
好像农村男在外面混得好了，必须回农村翻盖一下房子，让人知道你在🥡过得多好，其实一年到头也不会住几天。比如他就是在深圳当差佬而已，但是，深圳喔，还是公检法系统啊，哪怕基层，也要光宗耀祖一下
我家好在没有宅基地，我妈也没得炫",,,,,2024-11-27T12:42:49,小米9,246,34,3,,,2024-11-27 12:42:49,True
5105294252705309	,P2dJ7blM1,"石康说他长得不难看，我就笑了
 ",,,,,2024-11-27T12:07:44,小米9,242,47,6,,,2024-11-27 12:07:44,True
5105277848261325	,P2diEyF9b,"减了一点，9成2仓
 ",,,,,2024-11-27T11:02:33,小米9,52,13,0,,,2024-11-27 11:02:33,True
5105153898971360	,P2a4JBDRm,大风吹得❤️嗖嗖。 ,,,,,2024-11-27T02:50:01,小米9,46,9,0,,,2024-11-27 02:50:01,True
5105066553902833	,P27NRgniV,转发微博,,,,,2024-11-26T21:02:56,小米9,154,13,59,,,2024-11-26 21:02:56,False,7699652168,芸仔驾到,5104712791360783	,P1YBh5I07,"好你个浙江人
我们牛马就是这么被你们玩转的
 ",,"https://wx2.sinaimg.cn/large/008p4Xgcgy1hvytal03luj30zu1pa1fr.jpg,https://wx2.sinaimg.cn/large/008p4Xgcgy1hvyt9sfph1j30uh198wn0.jpg",,,2024-11-25T21:37:13,iPhone 14 Pro Max,18085,545,4608,,,2024-11-25 21:37:13
5105056595315374	,P27xNmiLQ,"我的重仓一个套着2.31%，一个套着1.33% 
套着就套着吧，搞不好打个喷嚏就解套呢。 ",,,,,2024-11-26T20:23:22,小米9,89,16,2,,,2024-11-26 20:23:22,True
5105049929518303	,P27n2DW91,"现在男的讨厌女的也不好惹。
好东西里的宋佳要是成为我邻居，我估计也得烦死。
她一天天女强人女汉子的人设，我帮她带娃，帮她省钱，把我的乐手朋友介绍给她当小孩的免费老师，她还跟他睡了。就这样，她还天天骂我恋爱脑，管天管地，PUA我。
我也就善良，一有冲突就说对不起，我也就感恩，记着巷口被跟踪时她仗义。因为她这点，我好像还不完似的，也很累。
她要是我邻居，我只会浅浅打个招呼，互不干涉。",,,,,2024-11-26T19:56:53,小米9,407,36,17,,,2024-11-26 19:56:53,True
5105047777838279	,P27jzwT5R,,,,,,2024-11-26T19:48:20,小米9,103,21,9,,,2024-11-26 19:48:20,False,5384771805,黄西炮,5104904794543384	,P23AXj3Wo,管晨辰称接受不了吴柳芳用体操擦边，有网友扒出了管晨辰之前回怼网友的评论，感觉这个人不但双标还有点女拳师的味道……#管晨辰称接受不了吴柳芳用体操擦边# ,,"https://wx1.sinaimg.cn/large/005SpX89gy1hvzevthz4tj31400u0dhs.jpg,https://wx3.sinaimg.cn/large/005SpX89gy1hvzevu9c57j30qo0k0756.jpg,https://wx1.sinaimg.cn/large/005SpX89gy1hvzevmadk4j30v00zogpl.jpg,https://wx4.sinaimg.cn/large/005SpX89gy1hvzev9u5vkj30x312nn2s.jpg","https://f.video.weibocdn.com/u0/6sAe5Vnzgx08jSSFInte01041200fLZt0E010.mp4?label=mp4_720p&template=960x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732889303&ssig=X31MvrIQXH&KID=unistore,video",,2024-11-26T10:20:10,,3952,428,666,管晨辰称接受不了吴柳芳用体操擦边,,2024-11-26 10:20:10
5105042732615565	,P27braYqx,42块2的晚餐 ,,"https://wx2.sinaimg.cn/large/007RdC5Mly1hvzv64afwkj30u0140q9i.jpg,https://wx3.sinaimg.cn/large/007RdC5Mly1hvzv64lug2j30u00u476f.jpg",,,2024-11-26T19:28:17,小米9,105,15,1,,,2024-11-26 19:28:17,True
5105036220696957	,P270W2Vjf,转发微博,,,,,2024-11-26T19:02:24,小米9,51,6,14,,,2024-11-26 19:02:24,False,6858239618,说好的5872,5104209068820056	,P1LuOB0uY,"11月24日，女子实名举报：上海交大材料科学与工程学院院长戴某，巨额财产和消费来源不明，伙同妻子虚构事实诈骗20余人，金额高达十余亿元。 
说好的5872的微博视频
 ",,,"https://f.video.weibocdn.com/o0/ZkrfqOLylx08jPPN35q001041200ysXK0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732889303&ssig=t9FeI1OATo&KID=unistore,video",,2024-11-24T12:15:36,Android,5243,177,1292,,,2024-11-24 12:15:36
5105035922899642	,P270scakq,"下午睡了2小时，心跳不快了。
我这年纪很多人要靠安眠药入睡了，我还好，只要还能补觉就补。 ",,,,,2024-11-26T19:01:13,小米9,131,19,2,,,2024-11-26 19:01:13,True
5105028194635378	,P26NZjrSa,转发微博,,,,,2024-11-26T18:30:31,小米9,8,1,2,,,2024-11-26 18:30:31,False,1671109627,包容万物恒河水,5104336936111184	,P1OP3pDNu,"🔻图1-2 是食贫道《神 佑 之 地》 中拍摄过的马尼拉现代港口旁水上漂浮的贫民区。
🔻图3-4 来自unequalscenes.com 
🔻这就是真正的赛博朋克，高技术低生活。
🔻而今天上午，位于马尼拉通多（Tondo）普汀巴托岛（Isla Puting Bato）这片贫民区起了一场大火（视频6起），烧毁了大约 1,000 所房屋，至少有 2,000 个家庭要无家可归了。
🔻via Manila DRRM Office",,"https://wx2.sinaimg.cn/large/639b1bfbly1hvxlwbcx8qj219s0rg4hi.jpg,https://wx1.sinaimg.cn/large/639b1bfbly1hvxlyw1p4hj21cs0r5qpm.jpg,https://wx3.sinaimg.cn/large/639b1bfbly1hvxlznuppqj20r410j1kx.jpg,https://wx4.sinaimg.cn/large/639b1bfbly1hvxlzrkjv3j21cs10iu0x.jpg,https://wx2.sinaimg.cn/large/639b1bfbly1hvxm0kjlgdj21r11adqv8.jpg,https://wx4.sinaimg.cn/large/639b1bfbly1hvxm3qc7f0j20hs0a0ab3.jpg,https://wx3.sinaimg.cn/large/639b1bfbly1hvxm3pz580j20fs08wdgp.jpg,https://wx3.sinaimg.cn/large/639b1bfbly1hvxm3pp3drj20y80ggdgk.jpg,https://wx2.sinaimg.cn/large/639b1bfbly1hvxm3qeynlj20sg0g0gmq.jpg","https://f.video.weibocdn.com/o0/aiGL1AzKlx08jQoKcYiQ010412002RWA0E010.mp4?label=mp4_ld&template=640x360.25.0&ori=0&ps=1BThihd3VLAY5R&Expires=1732889304&ssig=tzyN5QSwHA&KID=unistore,video",,2024-11-24T20:43:42,微博网页版,1027,91,263,,,2024-11-24 20:43:42
5104982846868989	,P25CQsOW9,风真大，伸手如铁拳。回家猫着了。 ,,,,,2024-11-26T15:30:19,小米9,46,5,0,,,2024-11-26 15:30:19,True
5104977225976329	,P25tMp4Ip,"满仓小亏
 ",,https://wx4.sinaimg.cn/large/007RdC5Mly1hvznn6edwsj307q06i746.jpg,,,2024-11-26T15:07:59,小米9,92,29,1,,,2024-11-26 15:07:59,True
5104976886238404	,P25teqaTq,"散文诗一般，故事不强，前夫的台词尤其别扭，感觉邵艺辉的恋爱谈少了，睡的男人也少，写到男人就生硬，没有经验。
一部想表达女性主义的电影，也没必要搞成教育男性的电影。 ",,,,,2024-11-26T15:06:38,小米9,293,51,21,,,2024-11-26 15:06:38,True
5104975066171344	,P25qipTrO,还行，小孩演得挺好。叶子我也喜欢，甚至比宋佳自然，没那么用力。 ,,,,,2024-11-26T14:59:24,小米9,120,20,1,,,2024-11-26 14:59:24,True
5104953532350569	,P24Rz9Rup,猜声音这段还挺好玩的 ,,,,,2024-11-26T13:33:49,小米9,68,17,0,,,2024-11-26 13:33:49,True
5104949465973365	,P24L0p3WB,像我们现在 ,,https://wx1.sinaimg.cn/large/007RdC5Mly1hvzkgirfdwj31400u0taf.jpg,,,2024-11-26T13:17:41,小米9,62,15,1,,,2024-11-26 13:17:41,True
5104944368323076	,P24CMyVda,1点开场，准备一边看盘一边看好东西，2小时正好。 ,,,,,2024-11-26T12:57:25,小米9,65,19,1,,,2024-11-26 12:57:25,True
5104927883921707	,P24ccgsdl,"拉面馆生意爆满，隔壁桌4个男人吃小炒，上了3个菜，芹菜炒肉丝，酸辣土豆丝，呛炒圆白菜……
真会过。 
我的大盘鸡盖饭，20
 ",,https://wx4.sinaimg.cn/large/007RdC5Mly1hvzi0b9wmxj30u01400yl.jpg,,,2024-11-26T11:51:55,小米9,131,38,1,,,2024-11-26 11:51:55,True
5104924922743056	,P247qbvAQ,买了电影票，选座时发现全场只有我一个人，怪不好意思的，要是我不看，它就可以空场不费电了吧。 ,,,,,2024-11-26T11:40:09,小米9,145,41,2,,,2024-11-26 11:40:09,True
5104917066810918	,P23UKszPw,"挣扎了半天要不要出去晒太阳和看电影。
风声越来越大，算了。 ",,,,,2024-11-26T11:08:56,小米9,60,13,0,,,2024-11-26 11:08:56,True
5104907088561643	,P23EEzVh1,玩大A就是跟2亿股民打麻将…… ,,,,,2024-11-26T10:29:17,小米9,278,14,16,,,2024-11-26 10:29:17,True
5104905242805616	,P23BGbLRS,"昨天满仓后好在今天止跌了
 ",,,,,2024-11-26T10:21:57,小米9,67,17,2,,,2024-11-26 10:21:57,True
5104900675209321	,P23ujlRbj,"石康天天修帆船了，我还在修地漏
 ",,,,,2024-11-26T10:03:48,小米9,69,18,3,,,2024-11-26 10:03:48,True
5104774586302865	,P20cWqrF7,"研究怎么换地漏，以为要凿开，没想手一抠下来了，然后发现是个断层地漏？之前的地漏尺寸比较小，是下沉式嵌到方型洞口里的，新地漏和地面齐平，怎么办？地漏芯到下水管还有段距离，水不会把砂浆层冲开啊。
然后研究了一番，原来有针对断层地漏的加长地漏芯，可以连接地漏口和下水管，水不会溢到别处，量了一下，大概10cm长的地漏芯就差不多。",,"https://wx4.sinaimg.cn/large/007RdC5Mgy1hvz0d07rhvj33342bc7wj.jpg,https://wx3.sinaimg.cn/large/007RdC5Mgy1hvz0d22fphj32bc334hdv.jpg,https://wx3.sinaimg.cn/large/007RdC5Mgy1hvz0d31ctbj30u01t04bq.jpg",,,2024-11-26T01:42:46,小米9,116,22,12,,,2024-11-26 01:42:46,True
5104733232826582	,P1Z8fbRk2,,,,,,2024-11-25T22:58:27,小米9,36,7,6,,,2024-11-25 22:58:27,False,3578404775,变态学教授无铭,5104679015678499	,P1XINnPeH,"这场摔跤，不好说谁是赢家 
变态学教授无铭的微博视频
 ",,,"https://f.video.weibocdn.com/o0/sHTNKdNFlx08jRU6Q4go010412009Car0E010.mp4?label=mp4_720p&template=720x760.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732889304&ssig=rK3Ra4PEDo&KID=unistore,video",,2024-11-25T19:23:00,微博视频号,1022,125,131,,,2024-11-25 19:23:00
5104729354931137	,P1Z1ZkGOt,,,,,,2024-11-25T22:43:02,小米9,95,24,12,,,2024-11-25 22:43:02,False,7274589253,娱颜小阿姨,5102481053585880	,P12xHf2QM,"留几手教人类低质量男性如何吸引女性
还让网友们和汪小菲光头一起找他报班#再见爱人# 
娱颜小阿姨的微博视频
 ",,,"https://f.video.weibocdn.com/o0/iugLZS5klx08jI11Ru8001041202cW7Q0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732889304&ssig=ZCbmWFt3Tk&KID=unistore,video",,2024-11-19T17:49:05,南投邱太太iPhone客户端,343,24,91,再见爱人,,2024-11-19 17:49:05
5104709256354716	,P1YvzqF9q,,,,,,2024-11-25T21:23:10,小米9,38,5,2,,,2024-11-25 21:23:10,False,5375832358,笑圈少女,5104304820327623	,P1NZg1nef,"#格斗女中医石铭扫踢震惊张伟丽#石铭这一脚真的大爆冷，对手直接担架抬着出去……关键她是主业还是医生
打完擂台去医院的对手:怎么还是她 
笑圈少女的微博视频
 ",,,"https://f.video.weibocdn.com/u0/nQL0943Bgx08jQfZTFPi01041200cPXb0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732889304&ssig=PDWtqyhRnp&KID=unistore,video",,2024-11-24T18:36:05,微博视频号,6497,780,386,格斗女中医石铭扫踢震惊张伟丽,,2024-11-24 18:36:05
5104705090620092	,P1YoR2Bju,给我猫看,,,,,2024-11-25T21:06:37,小米9,40,1,3,,,2024-11-25 21:06:37,False,2844061457,全是猫,5104672358009714	,P1Xy3xBGW,"点击看棉花糖尖叫 
全是猫的微博视频
 ",,,"https://f.video.weibocdn.com/o0/G8xWcnt3lx08jRSicqhy010412005PUB0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732889304&ssig=ci17zX5Lao&KID=unistore,video",,2024-11-25T18:56:33,微博视频号,2560,112,407,,,2024-11-25 18:56:33
5104697545069980	,P1YcGlgVS,没事瞎研究，在看电动护理床，可以定时翻身，在床上吃饭拉屎洗头，才2000多，老人瘫了用这个应该不容易长褥疮吧。 ,,,,,2024-11-25T20:36:38,小米9,128,35,3,,,2024-11-25 20:36:38,True
5104694961635955	,P1Y8w6RAn,差点去看👀,,,,,2024-11-25T20:26:21,小米9,364,91,9,,,2024-11-25 20:26:21,False,1645820930,吴苏媚,5104568809817211	,P1UR2FbU7,"诚实说了好东西并不是好电影，好几个人私信来骂。那我就继续说了，给这电影打出了9.1分的观众是多么没看过好电影？审美可怜。还是买水军了？
这就是部打扮洋气一点的烂片。不值得为此花钱花时间。爱情神话很好，好东西很差。就这样。 ",,,,,2024-11-25T12:05:05,iPhone客户端,151,8,19,,,2024-11-25 12:05:05
5104689080698687	,P1XZ22VL9,,,,,,2024-11-25T20:02:59,小米9,15,3,1,,,2024-11-25 20:02:59,False,7519706333,达克鸭唐,5104478946591613	,P1Sw6rEMl,"老白男也睁眼看世界了....
这老白男和中国“控制狂”妻子起诉离婚了，但是其还在网络上散播关于他的谣言，同时对方也承认家暴过自己，他说在这段婚姻生活中自己特别压抑，被训练成了不敢说惹怒她的话仅仅是为了保证自己的安全。#有家暴倾向的人大多有13个特征# 
达克鸭唐的微博视频
 ",,,"https://f.video.weibocdn.com/o0/GR0ToYLxlx08jQq5WyJq01041203Sih80E020.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732889304&ssig=puD22ZFg5P&KID=unistore,video",,2024-11-25T06:08:00,微博视频号,3782,139,166,有家暴倾向的人大多有13个特征,,2024-11-25 06:08:00
5104651972119871	,P1X1b8Ttt,外面刮大风，自己做饭吃，不给风里的人添麻烦。 ,,,,,2024-11-25T17:35:33,小米9,186,21,1,,,2024-11-25 17:35:33,True
5104645771366123	,P1WRb5Jof,生活才是磨人的小妖精。 ,,,,,2024-11-25T17:10:54,小米9,103,4,2,,,2024-11-25 17:10:54,True
5104644530112770	,P1WPb0tkS,"一天天的，做饭打不着火了，换了燃气灶和燃气表的电池也没打着，后来想打客服热线了，找不着电话，在线人工客服又排队100多，郁闷地打啊打啊，忽然打着了
 ",,,,,2024-11-25T17:05:58,小米9,65,29,0,,,2024-11-25 17:05:58,True
5104613310595930	,P1W0P2v1M,垂死挣扎的一天 ,,https://wx1.sinaimg.cn/large/007RdC5Mgy1hvyhupu746j307g06iwei.jpg,,,2024-11-25T15:01:55,小米9,161,47,0,,,2024-11-25 15:01:55,True
5104600559912940	,P1VGfFAO8,"差点儿满仓了
 ",,,,,2024-11-25T14:11:15,小米9,114,32,4,,,2024-11-25 14:11:15,True
5104561621041980	,P1UFs4n48,"我加得多是一个重仓跌，不要跟我
 ",,,,,2024-11-25T11:36:31,小米9,61,10,1,,,2024-11-25 11:36:31,True
5104557291475596	,P1Uyt6bRW,"我现在7仓5仓
 ",,,,,2024-11-25T11:19:19,小米9,82,17,1,,,2024-11-25 11:19:19,True
5104557045318136	,P1Uy4mjuo,大A今天像一个男人说：不爱硬。 ,,,,,2024-11-25T11:18:20,小米9,55,5,2,,,2024-11-25 11:18:20,True
5104540287763125	,P1U72wzxH,"租户一早主动给我转房租，2年半了，第一次。可能是之前签的2年合同，我没卖房也没打扰他，他感觉我亏了
 ",,,,,2024-11-25T10:11:45,小米9,142,21,0,,,2024-11-25 10:11:45,True
5104537421742343	,P1U2q7jgj,又买了一点。6成5仓 ,,,,,2024-11-25T10:00:21,小米9,39,6,0,,,2024-11-25 10:00:21,True
5104534068659259	,P1TX0AkFt,牛肉肠粉，卤鸭头，陈皮红豆沙 ,,https://wx2.sinaimg.cn/large/007RdC5Mgy1hvy8r2y64zj33342bce83.jpg,,,2024-11-25T09:47:02,小米9,90,12,0,,,2024-11-25 09:47:02,True
5104530934990104	,P1TRXkW9y,"涨的减了一点，6成仓
 ",,,,,2024-11-25T09:34:35,小米9,40,4,0,,,2024-11-25 09:34:35,True
5104507480965345	,P1Tg84385,"我成天叫4S狗🐶，结果隔壁来了真狗，跟他个头差不多大的泰迪
。“狗”怕狗。 ",,,,,2024-11-25T08:01:22,小米9,30,6,0,,,2024-11-25 08:01:22,True
5104386640707876	,P1Q7e2Y9m,楼上掉进地漏的小塑料瓶儿，堵在地漏底部和下水管接口，地面积水滴答下来，正好砸到瓶儿上，声音通过管道传导，就像冰雹砸在顶棚上。 ,,https://wx2.sinaimg.cn/large/007RdC5Mgy1hvxrsz993mj30u00mm7ad.jpg,,,2024-11-25T00:01:12,小米9,130,44,8,,,2024-11-25 00:01:12,True
5104364165530562	,P1PwYncKC,断电一天，冷藏室大块的结冰终于掉了下来，除完冰，不喘了。 ,,https://wx3.sinaimg.cn/large/007RdC5Mgy1hvxpbd4q51j33342bcb2b.jpg,,,2024-11-24T22:31:54,小米9,69,21,1,,,2024-11-24 22:31:54,True
5104358667061085	,P1Po6tCUt,图3抖得带劲,,,,,2024-11-24T22:10:02,小米9,181,31,16,,,2024-11-24 22:10:02,False,2948080847,道叔bot,5103821019938911	,P1BoVFHz1,"前体操世界杯冠军吴柳芳，变身性感女主播。
奥运冠军管晨辰：不要给体操扣屎盆子。
吴柳芳：吃不着普通说普通酸？ #管晨辰 吴柳芳##管晨辰指责前体操冠军当网红擦边# ",,"https://wx2.sinaimg.cn/large/afb824cfly1hvvysvvzb0j20u01hcq4x.jpg,https://wx3.sinaimg.cn/large/afb824cfly1hvvyszq1nyj20u01hcq4m.jpg,https://wx4.sinaimg.cn/large/afb824cfly1hvvyt0zk82j20k00zkgmd.jpg,https://wx2.sinaimg.cn/large/afb824cfly1hvvyt5pwq4j20u01hcq4n.jpg,https://wx1.sinaimg.cn/large/afb824cfly1hvvyt9rtyrj20u01hcad4.jpg,https://wx3.sinaimg.cn/large/afb824cfly1hvvytd948oj20u01hc40u.jpg,https://wx1.sinaimg.cn/large/afb824cfly1hvvytgyt3mj20u01hc76b.jpg,https://wx3.sinaimg.cn/large/afb824cfgy1hvvysonsmhj20z80vstei.jpg,https://wx3.sinaimg.cn/large/afb824cfly1hvvytph96jj21hc0u0q5k.jpg","https://f.video.weibocdn.com/o0/v5uCV7VNlx08jO7RRAic010412009hW10E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732889313&ssig=%2FNW67lkehj&KID=unistore,video",,2024-11-23T10:33:37,置顶🔝iPhone 16 Pro Max,18331,1807,2496,"管晨辰 吴柳芳,管晨辰指责前体操冠军当网红擦边",,2024-11-23 10:33:37
5104356693377050	,P1PkVeawy,可是我很务实啊，也喜欢科研啊,,,,,2024-11-24T22:02:12,小米9,66,6,4,,,2024-11-24 22:02:12,False,2611641261,喝红茶的三叔,5104246412544531	,P1Mt3aFWP,"#媒体评前体操冠军当性感网红#如果不违反规定，不违法，她做啥，都没必要说三道四。和20年前比，社会趋向保守很多了。当年中大哲学本科木子美，可比这个叛经离道的多了。
现在网红，真有危害的不是这些。是那些一本正经的说胡说八道的事。巨婴津津有味吸收这些有害的东西，还把它当真，扭曲了世界观。
特朗普是不会爱上白宫做保洁的，特朗普儿子会不会呢？
孩子在大学毕业前，思维都属于正常，选择研究生专业的时候，甚至特意选了需要动手的科目，TA说的那句，累一点的～需要手工操作的，总有饭吃的，现在我都很感动（那会我基本上不管TA啥了）。
但是，最近这两年，什么脱口秀，什么短视频，宣导的东西，也是潜移默化的改变一个成年人。躺平，偷懒，爱天上掉馅饼的风气，或多或少影响到了。虽然TA的导师是个古板严肃认真负责的人。
那些表面合规，其实离谱的言论，才是很有害的。而且，自媒体越迎合涉世不深的年轻人的情绪的东西，越有毒。",,,,,2024-11-24T14:44:00,HUAWEI P60,556,45,39,媒体评前体操冠军当性感网红,,2024-11-24 14:44:00
5104353850953005	,P1Pgl3ZV3,我们需要擦边女主播，何况体操专业的，擦得比群魔乱舞好啊。 ,,,,,2024-11-24T21:50:55,小米9,471,32,16,,,2024-11-24 21:50:55,True
5104352626215701	,P1Pemq4Zf,研究炒股是商科，研究滴水是工科，文科之外的东西都挺有意思。 ,,,,,2024-11-24T21:46:03,小米9,71,9,0,,,2024-11-24 21:46:03,True
5104351481431553	,P1Pcw60pz,"今晚楼上打了胶不能洗澡。安静如泥
 ",,,,,2024-11-24T21:41:30,小米9,104,12,0,,,2024-11-24 21:41:30,True
5104307993314386	,P1O4ndUdQ,我现在的噪音是隔壁小狗，我也不讨厌狗，但我两猫不适应，尤其4S，钻被窝，或者出来也躁动不安……狗叫对他很刺耳吧，猫的听觉是人的好几倍。无妄之灾…… ,,,,,2024-11-24T18:48:42,小米9,56,9,1,,,2024-11-24 18:48:42,True
5104303294124307	,P1NWNhiV5,要不是读文科，我也是妥妥的工程师分析师了。 ,,,,,2024-11-24T18:30:01,小米9,113,14,2,,,2024-11-24 18:30:01,True
